Country,Date,Confirmed,Deaths,Recovered
Armenia,2020-3-3,0,0,0
Armenia,2020-3-4,0,0,0
Armenia,2020-3-5,0,0,0
Armenia,2020-3-6,0,0,0
Armenia,2020-3-7,0,0,0
Armenia,2020-3-8,0,0,0
Armenia,2020-3-9,0,0,0
Armenia,2020-3-10,0,0,0
Armenia,2020-3-11,0,0,0
Armenia,2020-3-12,3,0,0
Armenia,2020-3-13,4,0,0
Armenia,2020-3-14,10,0,0
Armenia,2020-3-15,8,0,0
Armenia,2020-3-16,26,0,0
Armenia,2020-3-17,26,0,1
Armenia,2020-3-18,6,0,0
Armenia,2020-3-19,31,0,0
Armenia,2020-3-20,21,0,0
Armenia,2020-3-21,24,0,0
Armenia,2020-3-22,34,0,1
Armenia,2020-3-23,41,0,0
Armenia,2020-3-24,14,0,12
Armenia,2020-3-25,16,0,2
Armenia,2020-3-26,25,1,2
Armenia,2020-3-27,39,0,10
Armenia,2020-3-28,78,0,2
Armenia,2020-3-29,17,2,0
Armenia,2020-3-30,58,0,0
Armenia,2020-3-31,50,0,0
Armenia,2020-4-1,39,1,1
Armenia,2020-4-2,92,3,2
Armenia,2020-4-3,73,0,10
Armenia,2020-4-4,34,0,0
Armenia,2020-4-5,52,0,14
Armenia,2020-4-6,11,1,5
Armenia,2020-4-7,20,0,25
Armenia,2020-4-8,28,1,27
Armenia,2020-4-9,40,1,24
Armenia,2020-4-10,16,2,11
Armenia,2020-4-11,30,1,24
Armenia,2020-4-12,46,0,24
Armenia,2020-4-13,26,1,14
Armenia,2020-4-14,28,2,54
Armenia,2020-4-15,44,1,32
Armenia,2020-4-16,48,1,61
Armenia,2020-4-17,42,1,44
Armenia,2020-4-18,47,1,121
Armenia,2020-4-19,43,0,22
Armenia,2020-4-20,48,2,35
Armenia,2020-4-21,62,2,29
Armenia,2020-4-22,72,0,24
Australia,2020-1-22,0,0,0
Australia,2020-1-23,0,0,0
Australia,2020-1-24,0,0,0
